device,intf,description,ip_addr,shutdown,snmp_location
ACTMIBC-AGG-NUTANIX-L3-01,Vlan101,,167.69.54.14/24,FALSE,
ACTMIBC-AGG-NUTANIX-L3-01,port-channel3,VPC Peer KeepAlive PC to Nutanix-02,1.1.1.1/30,FALSE,
ACTMIBC-ACC-NUTANIX-L3-1-1,Vlan101,,167.69.54.66/24,FALSE,
ACTMIBC-ACC-NUTANIX-L3-1-1,port-channel3,VPC Peer KeepAlive PC to switch 1-2,1.1.1.1/30,FALSE,
ACTMIBC-ACC-NUTANIX-L3-1-2,Vlan101,,167.69.54.67/24,FALSE,
ACTMIBC-ACC-NUTANIX-L3-1-2,port-channel3,VPC Peer KeepAlive PC to switch 1-2,1.1.1.2/30,FALSE,
ACTMIBC-ACC-NUTANIX-L3-2-2,Vlan101,,167.69.54.69/24,FALSE,
ACTMIBC-ACC-NUTANIX-L3-2-2,port-channel3,VPC Peer KeepAlive PC to switch 1-2,1.1.1.2/30,FALSE,
ACTMIBC-ACC-NUTANIX-L3-2-1,Vlan101,,167.69.54.68/24,FALSE,
ACTMIBC-ACC-NUTANIX-L3-2-1,port-channel3,VPC Peer KeepAlive PC to switch 1-2,1.1.1.1/30,FALSE,
ACTMIDC-AGG-NUTANIX-L3-02,Vlan101,,167.69.54.65/24,FALSE,
ACTMIDC-AGG-NUTANIX-L3-02,port-channel3,VPC Peer KeepAlive PC to Nutanix-02,1.1.1.2/30,FALSE,
ACTWIDC-ACC-Nutanix-L3-1-1,Vlan101,,167.69.59.74/24,FALSE,
ACTWIDC-ACC-Nutanix-L3-1-1,port-channel3,VPC Peer KeepAlive PC to Nutanix-02,1.1.1.1/30,FALSE,
ACTWIDC-ACC-Nutanix-L3-2-1,Vlan101,,167.69.59.76/24,FALSE,
ACTWIDC-ACC-Nutanix-L3-2-1,port-channel3,VPC Peer KeepAlive PC to Nutanix-02,1.1.1.1/30,FALSE,
ACTWIDC-ACC-Nutanix-L3-1-2,Vlan101,,167.69.59.75/24,FALSE,
ACTWIDC-ACC-Nutanix-L3-1-2,port-channel3,VPC Peer KeepAlive Etherchannel to Nutanix-1,1.1.1.2/30,FALSE,
ACTMIDC-ACC-CHOESITY-01,Vlan100,Cohesity Host & Data,10.101.0.2/23,FALSE,
ACTMIDC-ACC-CHOESITY-01,Vlan110,Cohesity Repl,10.101.3.2/24,FALSE,
ACTMIDC-ACC-CHOESITY-01,Vlan120,Cohesity Vault Replication,10.101.4.2/24,FALSE,
ACTMIDC-ACC-CHOESITY-01,Vlan200,Vault Host & Data,10.101.13.2/24,FALSE,
ACTMIDC-ACC-CHOESITY-01,port-channel1,Cohesity02 L3 ISL,167.69.82.192/31,FALSE,
ACTMIDC-ACC-CHOESITY-01,Ethernet1/36,To MID-BS-L2-Xpress77k-01 E6/3,167.69.82.160/31,FALSE,
ACTMIDC-ACC-CHOESITY-01,Ethernet2/36,To MID-BS-L2-Xpress77k-03 E6/3,167.69.82.164/31,FALSE,
